Fecha,IVV,QQQ,XLV,XLE,XLP,XLI,GLD,XLY,XLK,XLU,XLRE,EWJ,SHV,BBVALIQPV,BBVATESE,SPX,NAFTRACISHRS,XLF,XLB
01/12/25,692.24,622.72,154.14,44.33,77.06,154.59,396.31,119.17,143.75,42.37,39.91,77.83,109.44,23.15,231.02,6845.5,67.14,54.58,45.12
01/11/25,682.52,613.52,156.98,44.84,78.74,153.17,387.88,118,142.89,44.98,41.22,80.02,109.37,23.03,229.81,6849.09,63.35,53.14,44.47
01/10/25,684.46,618.45,143.64,43.69,75.67,154.53,368.12,119.73,150.11,44.22,40.46,80.44,109.05,22.93,228.78,6840.2,62.58,52.19,42.62
01/09/25,682.81,628.26,137.95,43.92,77.22,153.07,355.47,119.37,140.54,42.99,41.36,77.32,108.67,22.81,227.59,6688.46,61.54,53.51,44.37
01/08/25,664.94,598.9,136.22,44.43,79.59,150.87,318.07,115.44,130.86,41.57,41.54,75.46,108.29,22.69,226.33,6460.26,61.68,53.63,45.69
01/07/25,644.09,569.01,129.29,42.87,78.61,150.87,302.96,110.3,131,42.23,40.65,70.96,107.85,22.58,225.18,6339.39,57.5,52.02,43.43
01/06/25,630.76,563.63,132.97,41.35,79.23,145.97,304.83,108.03,126.05,39.98,40.3,71.69,107.47,22.45,223.93,6204.95,56.03,51.84,43.25
01/05/25,614.93,549.67,130.85,39.76,81.05,141.32,303.6,106.27,114.94,40.11,40.6,70.87,107.13,22.32,222.59,5911.69,55.76,50.44,42.53
01/04/25,586.46,517.26,138.58,39.25,80.08,129.84,303.77,98.05,104.52,38.63,40.18,68.3,106.77,22.19,221.25,5569.06,55.89,48.27,41.32
01/03/25,552.6,473.78,143.49,45.21,79.5,129.29,288.14,97.88,102.6,38.33,40.46,65.56,106.43,22.05,219.86,5611.85,54.05,49.13,42.15
01/02/25,554.77,466.55,146.36,44.03,80.87,134.48,263.27,107.05,112.07,38.51,41.71,65.47,106.03,21.9,218.32,5954.5,50.33,51.46,43.51
01/01/25,589.47,505.61,144.33,42.4,76.88,136.47,258.56,115.09,114.69,37.86,40.04,65.32,106.09,21.76,216.94,6040.53,50.28,50.76,43.53
01/12/24,596.99,519.65,134.58,41.1,75.94,129.32,242.13,111,115.35,36.49,38.9,63.17,104.9,21.61,215.34,5881.63,49.13,47.46,41.03
01/11/24,579.18,507.83,144.21,45.84,80.4,141.33,245.59,109.99,115.95,39.98,43.04,65.61,104.83,21.44,213.63,6032.38,47.16,50.42,46.22
01/10/24,595.31,506.35,143.68,42.51,77.4,131.35,253.51,97.42,110.25,38.53,41.32,64.09,104.46,21.29,212.09,5705.45,47.5,45.65,45.55
01/09/24,562.02,480.63,150.12,41.78,79.76,132.5,243.06,98.93,111.8,38.68,42.43,67.35,104.07,21.13,210.44,5762.48,47.88,44.35,46.8
01/08/24,565.31,484.15,153.22,43.44,79.29,128.61,231.29,92.39,109.11,36.53,41.36,67.76,103.58,20.96,208.76,5648.4,49.6,44.76,45.78
01/07/24,555.44,472.44,145.84,44.36,74.81,125.09,226.55,92.57,108.35,34.86,39.12,66.82,103.09,20.8,207.15,5522.3,48.96,42.8,44.74
01/06/24,542.28,467.28,141.5,43.03,73.04,118.82,215.01,89.87,111.83,32.37,36.11,63.78,102.61,20.62,205.34,5460.48,49.36,40.07,42.67
01/05/24,534.71,474.5,139.51,44,73.76,120.42,215.3,86.7,103.89,34.55,35.78,64.46,102.19,20.47,203.82,5277.51,48.89,40.59,44.23
01/04/24,517.83,446.38,136.24,44.15,72.01,118.48,211.87,86.53,97.02,31.7,34.03,62.87,101.71,20.31,202.15,5035.69,51.06,39.34,42.83
01/03/24,492.9,420.51,142.91,44.21,72.3,122.43,205.72,90.4,102.79,30.93,36.92,66.68,101.36,20.13,200.32,5254.35,53.23,40.9,44.73
01/02/24,512.07,439.16,140.09,40.34,70.49,117.61,189.31,90.66,102.15,29.26,36.52,64.6,100.91,19.98,198.86,5096.27,52.88,39.17,42.16
01/01/24,497.18,434.2,135.8,39.06,69.04,109.73,188.45,84.03,97.56,28.95,35.61,61.88,100.95,19.83,197.3,4845.65,51.14,37.64,39.58
01/12/23,472.59,412.42,131.34,38.89,67.69,110.19,191.17,87.75,94.78,29.56,37.02,59.11,99.65,19.65,195.52,4769.83,52.87,36.33,40.9
01/11/23,463.35,404.03,126.46,39.23,66.4,103.48,188.75,82.83,91.18,29.29,34.4,57.7,99.64,19.49,193.93,4567.8,52.65,34.69,39.4
01/10/23,444.71,383.61,119.94,39.52,63.77,95.08,184.09,74.64,80.76,27.86,30.59,54.34,99.14,19.33,192.28,4193.8,49.58,31.27,36.37
01/09/23,407.38,346.16,123.48,41.62,64.22,97.61,171.45,78.86,80.55,27.28,31.23,55.57,98.7,19.16,190.55,4288.05,44.64,31.91,37.38
01/08/23,414.69,352.95,127.76,40.94,67.91,104.2,180.02,83.63,86.32,29.15,33.94,56.81,98.31,19.01,189,4507.66,46.27,33.07,39.44
01/07/23,437.15,372.38,128.66,40.28,70.7,106.31,182.35,85.11,87.64,31.05,35.01,58.45,97.87,18.85,187.37,4588.96,48.28,33.99,40.79
01/06/23,444.39,377.99,126.78,37.05,68.74,102.91,178.27,83.02,85.25,30.06,34.22,56.66,97.46,18.69,185.75,4450.38,49.73,32.28,39.24
01/05/23,429.07,363.44,122.1,34.96,67.35,92.87,182.32,74.12,80.56,29.82,32.72,54.32,97.07,18.53,184.18,4179.83,48.19,30.41,35.52
01/04/23,403.77,342.36,127.54,38.86,71.77,95.89,184.8,72.29,73.96,31.68,34.28,53.86,96.76,18.36,182.47,4169.48,47.6,31.76,38.14
01/03/23,402.07,317.34,123.18,37.42,68.91,96.63,183.22,72.89,73.89,30.86,33.7,53.72,96.55,18.22,181.03,4109.31,49.61,30.64,38.03
01/02/23,394.09,315.25,121,37.8,66.44,96.43,169.78,70.94,66.8,29.64,34.45,51.2,95.99,18.07,179.48,3970.15,48.37,34.04,38.58
01/01/23,381.52,288.36,126.89,40.62,68.01,97.27,179.41,72.48,66.52,31.5,36.59,53.7,96.03,17.94,178.13,4076.6,47.47,34.84,39.91
01/12/22,391.43,289.4,128.73,39.11,68.27,93.35,169.64,62.78,60.71,31.88,32.92,49.72,95.2,17.79,176.64,3839.5,48.94,32.39,36.39
01/11/22,366.74,260.94,131.73,40.75,70.69,96.68,164.81,71.05,66.33,32.3,34.98,50.96,95.14,17.66,175.3,4080.11,43.55,34.38,38.76
01/10/22,390.71,287.48,125.79,40.24,66.61,89.68,151.91,70.01,62.38,30.2,32.74,45.66,94.86,17.54,174.03,3871.98,46.39,32.18,34.7
01/09/22,370.16,272.38,114.3,31.85,60.71,78.36,154.67,69.1,57.81,29.43,31.81,44.61,94.74,17.42,172.81,3585.62,44.57,28.6,31.68
01/08/22,340.59,261.43,117.75,35.6,66.52,87.91,159.27,75.43,65.83,33.39,36.97,48.94,94.74,17.31,171.75,3955,39.71,31.13,35.13
01/07/22,377.18,292.74,124.96,34.68,67.78,90.47,164.1,78.98,70.19,33.22,39.17,51.28,94.67,17.2,170.62,4130.29,40.24,31.76,36.39
01/06/22,393.41,308.58,120.52,31.28,65.18,82.26,168.46,66.53,61.71,31.25,35.81,47.78,94.6,17.11,169.7,3785.38,42.87,29.47,34.05
01/05/22,358.94,273.64,124.27,38.14,67.25,89.19,171.14,74.79,68.18,33.12,38.75,52.1,94.69,17.03,168.84,4132.15,41.96,33.24,39.8
01/04/22,392.75,300.98,122.45,32.87,70.11,89.6,176.91,78.82,68.65,31.76,40.84,51.21,94.65,16.95,167.97,4131.93,45.79,32.34,39.34
01/03/22,391.51,305.83,128.35,33.12,68.23,96.67,180.65,89.39,77,32.96,42.1,55.73,94.69,16.88,167.24,4530.41,45.13,35.77,40.63
01/02/22,428.08,353.51,121.76,30.58,67.34,93.77,178.38,85.73,74.65,30.07,39.27,56.93,94.72,16.81,166.51,4373.94,49.51,35.95,38.43
01/01/22,413.95,338.17,122.95,28.56,68.3,94.56,168.09,89.37,78.48,30.66,41.25,57.96,94.76,16.75,165.89,4515.55,46.79,36.46,38.92
01/12/21,426.27,354.01,131.5,23.74,68.85,98.95,170.96,98.64,84.08,31.44,44.76,59.78,94.83,16.69,165.25,4766.18,44.91,36.27,41.55
01/11/21,448.64,387.45,121.08,23.35,62.76,94.24,165.5,98.64,81.59,28.89,40.94,59.22,94.81,16.64,164.78,4567,46.64,35.26,38.82
01/10/21,430.43,383.53,124.9,24.58,63.62,97.72,166.65,97.05,78.12,29.39,41.31,61.07,94.85,16.6,164.34,4605.38,43.6,37.4,39.03
01/09/21,433.59,376.02,118.39,22.01,61.09,91.2,164.22,86.45,72.08,27.85,38.19,62.72,94.88,16.56,163.95,4307.54,44.79,34.71,36.12
01/08/21,403.68,348.22,125.75,20.45,64.12,97.42,169.69,88.47,76.69,29.88,40.96,61.07,94.88,16.53,163.58,4522.68,44.71,35.52,39.09
01/07/21,425.12,369.61,122.91,20.87,63.45,96.35,169.82,86.92,74.05,28.76,39.85,59.91,94.89,16.49,163.21,4395.26,46.4,33.78,38.36
01/06/21,412.65,354.65,116.68,22.53,61.69,95.15,165.63,85.89,71.15,27.35,37.84,59.86,94.89,16.46,162.89,4297.5,44.18,33.8,37.42
01/05/21,401.67,344.38,114.51,21.84,62.43,97.68,178.38,83.14,66.69,28.19,36.93,60.78,94.91,16.43,162.6,4204.11,40.61,35,39.67
01/04/21,393.94,324.46,112.4,20.66,61.34,94.71,165.66,86.07,67.32,28.86,36.51,59.75,94.91,16.41,162.3,4181.17,38.35,33.41,37.75
01/03/21,391.35,328.41,107.78,20.31,59.9,91.2,159.96,80.72,63.86,27.5,33.38,60.72,94.91,16.38,162.01,3972.89,36.92,31.23,35.67
