fecha,usdmxn_fix
31/12/17,19.6629
01/01/18,N/E
02/01/18,19.4899
03/01/18,19.3717
04/01/18,19.2427
05/01/18,19.2737
06/01/18,N/E
07/01/18,N/E
08/01/18,19.2323
09/01/18,19.3065
10/01/18,19.2405
11/01/18,19.3433
12/01/18,19.0446
13/01/18,N/E
14/01/18,N/E
15/01/18,18.8113
16/01/18,18.8362
17/01/18,18.655
18/01/18,18.6361
19/01/18,18.5813
20/01/18,N/E
21/01/18,N/E
22/01/18,18.7118
23/01/18,18.798
24/01/18,18.5178
25/01/18,18.478
26/01/18,18.4672
27/01/18,N/E
28/01/18,N/E
29/01/18,18.6196
30/01/18,18.6982
31/01/18,18.6069
01/02/18,18.4004
02/02/18,18.5248
03/02/18,N/E
04/02/18,N/E
05/02/18,N/E
06/02/18,18.7009
07/02/18,18.6492
08/02/18,18.8815
09/02/18,18.8623
10/02/18,N/E
11/02/18,N/E
12/02/18,18.6703
13/02/18,18.6269
14/02/18,18.6025
15/02/18,18.5159
16/02/18,18.4797
17/02/18,N/E
18/02/18,N/E
19/02/18,18.536
20/02/18,18.6594
21/02/18,18.6518
22/02/18,18.6574
23/02/18,18.5659
24/02/18,N/E
25/02/18,N/E
26/02/18,18.6456
27/02/18,18.7902
28/02/18,18.8331
01/03/18,18.861
02/03/18,18.8909
03/03/18,N/E
04/03/18,N/E
05/03/18,18.8838
06/03/18,18.7246
07/03/18,18.7922
08/03/18,18.7148
09/03/18,18.5812
10/03/18,N/E
11/03/18,N/E
12/03/18,18.6199
13/03/18,18.5604
14/03/18,18.5854
15/03/18,18.7023
16/03/18,18.7216
17/03/18,N/E
18/03/18,N/E
19/03/18,N/E
20/03/18,18.7614
21/03/18,18.6001
22/03/18,18.5078
23/03/18,18.5364
24/03/18,N/E
25/03/18,N/E
26/03/18,18.3268
27/03/18,18.3445
28/03/18,18.2709
29/03/18,N/E
30/03/18,N/E
31/03/18,N/E
01/04/18,N/E
02/04/18,18.2967
